Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
3103EM17T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (FJ18),Oct 2018,"Lift, Escalator and Passenger Conveyor Installation",Selective,Fujitec (HK) Company Limited,"HK$22,836,192.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1512.html,,,,
1385EM18W,"Retrofitting of High Efficiency Chiller, Chilled Water Pump and Associated Installation in Fanling Health Centre",Oct 2018,Air-conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","HK$17,466,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1559.html,,,,
1726EM17T,Quadrennial Term Contract for Maintenance of Terrestrial Trunked Radio (TETRA) System for Correctional Services Department,Oct 2018,Radio Electronics Installation,Selective,Motorola Solutions Asia Pacific Limited,"HK$30,868,460.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1520.html,,,,
1630EM18T,"Triennial Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical and Floodlighting Installations on Hong Kong Island and Outlay Islands (South) in the Government Properties Maintained by Hong Kong Maintenance Sub-division of General Engineering Services Division ",Oct 2018,Electrical Installation,Selective,Interlite (Asia) Limited,"HK$19,473,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1560.html,,,,
1628EM18T,"Triennial Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical and Floodlighting Installations in New Territories in the Government Properties Maintained by New Territories Maintenance Sub-division of General Engineering Services Division ",Oct 2018,Electrical Installation,Selective,Interlite (Asia) Limited,"HK$14,945,179.96",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1558.html,,,,
1537EM18T,"Triennial Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical and Floodlighting Installations in Kowloon and New Territories in the Government Properties Maintained by Kowloon Maintenance Sub-division of General Engineering Services Division ",Oct 2018,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"HK$17,920,498.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1552.html,,,,
1456EM17W,"Improvement Works on Chiller Plants at China Ferry Terminal, Hydro Building and Macau Ferry Terminal",Oct 2018,Air-conditioning Installation,Selective,Quad-Tech Engineering (H.K.) Company Limited,"HK$21,820,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1567.html,,,,
2713EM17T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (AE17),Sep 2018,"Lift, Escalator and Passenger Conveyor Installation",Selective,Anlev Elex Elevator Limited,"HK$40,841,312.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1519.html,,,,
1039EM17T,"Five-year Term Contract for Maintenance, Modification and Installation Works of Area Traffic Control System in Hong Kong Island",Sep 2018,"comprehensive maintenance, modification and installation works for the Hong Kong Area Traffic Control (HKATC) System, as well as provision of first line maintenance for traffic signals & accessories equipment",Open,Shun Hing Systems Integration Company Limited,"HK$9,880,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1464.html,,,,
1389EM18A,District Cooling System (DCS) at Kai Tak Development (KTD) - Chilled Water Pipe Laying and Associated Works In North Apron,Sep 2018,Waterworks,Selective,Wing's Construction Company Limited,"HK$11,000,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1563.html,,,,
1077EM18T,"Triennial Term Contract for Operation and Maintenance Services of Electrical, Mechanical and Air-conditioning Installations at Cheung Sha Wan Wholesale Food Market and Various Venues of the Government of the Hong Kong SAR Maintained by General Engineering Services Division",Sep 2018,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$26,418,898.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1533.html,,,,
1859EM15T,"26-Month Term Contract for Maintenance and Improvement of Heating, Ventilation and Air-conditioning Installations for Hospitals and Clinics in Kowloon East and Kowloon Central Regions",Sep 2018,Air-conditioning Installation,Selective,Yordland Engineering Limited,"HK$96,898,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1469.html,,,,
1273EM17T,"Quadrennial Term Contract for Maintenance of Liquefied Petroleum Gas Installations at Various Venues of Transport, Security & Central Services Division",Sep 2018,Liquefied Petroleum Gas Installation,Selective,Yau Sang Engineering Company,"HK$22,030,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1509.html,,,,
1033EM18T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong East Region and Outlying Islands",Aug 2018,Air-conditioning Installation,Selective,Yordland Engineering Limited,"HK$71,668,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1528.html,,,,
3117EM17T,42-month Term Contract for Maintenance of Air-conditioning Installations and Other Associated Facilities at Unattended Municipal Venues in Kowloon,Aug 2018,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$75,148,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1508.html,,,,
2335EM17T,"Five-year Term Contract for Maintenance, Modification and Installation Works for Area Traffic Control System of Tuen Mun and Yuen Long District",Aug 2018,"Maintenance, modification and installation works for the Area Traffic Control (ATC) System of Tuen Mun and Yuen Long District as well as provision of first line maintenance for traffic signals & accessories equipment",Open,Siemens Limited,"HK$42,649,181.08",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1518.html,,,,
1577EM18T,"Annual term contract for building services fitting-out, replacement and improvement works to various venues of the Government of the Hong Kong Special Administrative Region Maintained by Kowloon Maintenance Sub-division of General Engineering Services Division",Aug 2018,Air-conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","HK$18,941,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1547.html,,,,
2908EM17T,Quadrennial Term Contract for Maintenance of Digital Red Light Camera System (Phase IV) for Hong Kong Police Force,Aug 2018,Comprehensive maintenance and repair of Digital Red Light Camera System (Phase IV) of Hong Kong Police Force,Open,Win Promise Limited,"HK$19,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1502.html,,,,
1005EM17T,"Quadrennial Term Contract for Maintenance of Security and Electronic Systems at various venues for Correctional Services Department, Immigration Department, and Customs and Excise Department",Jul 2018,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$23,027,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1462.html,,,,
3116EM17T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Associated Facilities at Attended Municipal Venues in Kowloon,Jul 2018,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$116,444,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1507.html,,,,
1144EM16W,Provision of Vehicle Examination Equipment and Related Electronics and Control System (VEES) at Tsing Yi Vehicle Examination Centre,Jul 2018,Mechanical Plant and Equipment Installation,Selective,ATAL Engineering Limited,"HK$203,228,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1513.html,,,,
1256EM18W,Improvement Works for the Air Conditioning Installations at Various Municipal Venues (Batch 1),Jul 2018,Air-conditioning Installation,Selective,Wenden Engineering Service Company Limited,"HK$44,148,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1529.html,,,,
2656EM17T,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region [Package II]",Jul 2018,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"HK$89,787,820.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1504.html,,,,
2231EM17T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Central Government Offices, Chief Executive's Office and Legislative Council Complex at Tamar",Jul 2018,Air-conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","HK$77,928,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1486.html,,,,
3110EM17T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of MT17),Jun 2018,Comprehensive maintenance and repair of Lift installations in various premises of the Government of the HKSAR,Open,Mitsubishi Elevator Hong Kong Company Limited,"HK$26,109,880.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1510.html,,,,
2635EM16T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region - Package 4,Jun 2018,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$1,963,480.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1506.html,,,,
2005EM17T,"42-month Term Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues of the Government of the Hong Kong Special Administrative Region in Kowloon Region [Package I]",Jun 2018,Electrical Installation,Selective,Technicon Engineering Limited,"HK$82,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1485.html,,,,
1084EM18T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE18),Jun 2018,Comprehensive maintenance and repair of Lift installations in various premises of the Government of the HKSAR,Open,Anlev Elex Elevator Limited,"HK$58,478,700.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1521.html,,,,
2682EM17T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of Hospital Authority (AE18),Jun 2018,"Lift, Escalator and Passenger Conveyor Installation",Selective,Anlev Elex Elevator Limited,"HK$7,599,384.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1484.html,,,,
1393EM16T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of HT16E),Jun 2018,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Hitachi Elevator Engineering Company (Hong Kong) Limited,"HK$8,340,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1442.html,,,,
1346EM16T, Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of HT16),Jun 2018,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Hitachi Elevator Engineering Company (Hong Kong) Limited,"HK$18,475,508.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1465.html,,,,
